Setup,Q0,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2
Reference,-3.1883040000E+01,-1.6940300000E+01,1.9891320000E-01,7.0335080000E-01,-3.5689660000E+02,8.9020010000E+01,-8.3279800000E+03,9.8583710000E+01,-1.4373520000E+04
2,-3.1999950000E+01,-2.0011400000E+01,2.7899960000E-01,5.9151040000E-01,-3.6891040000E+02,9.2465490000E+01,-8.3606040000E+03,9.7824290000E+01,-1.4430480000E+04
3,-3.1898300000E+01,-1.6865370000E+01,2.4572630000E-01,7.4433100000E-01,-3.5826860000E+02,8.8292840000E+01,-8.3317830000E+03,9.8544250000E+01,-1.4380130000E+04
4,-3.1879370000E+01,-1.6660600000E+01,2.3418540000E-01,7.9222840000E-01,-3.5637340000E+02,8.9921200000E+01,-8.3262030000E+03,9.8638140000E+01,-1.4370640000E+04
5,-3.1879550000E+01,-1.6683300000E+01,2.0942840000E-01,7.7078160000E-01,-3.5521290000E+02,8.9019470000E+01,-8.3257010000E+03,9.8679240000E+01,-1.4369650000E+04
6,-3.1878110000E+01,-1.6657660000E+01,2.0910880000E-01,7.5098190000E-01,-3.5506070000E+02,8.8990820000E+01,-8.3254900000E+03,9.8638710000E+01,-1.4369240000E+04
