Setup,Q0,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2
Reference,-3.1736170000E+01,-1.0521960000E+00,-6.2019920000E-01,8.9214250000E-01,-1.1338030000E+02,-3.3299460000E+01,-1.8599740000E+02,-2.6053060000E+02,2.7089560000E+02
2,-3.1999950000E+01,-1.2287190000E+00,-7.3580580000E-01,1.1833570000E+00,-1.1196110000E+02,-3.5719610000E+01,-1.8846620000E+02,-2.6111540000E+02,2.7501540000E+02
3,-3.1739170000E+01,-1.0681880000E+00,-6.4904620000E-01,1.0138060000E+00,-1.1186360000E+02,-3.4182430000E+01,-1.8658550000E+02,-2.5955890000E+02,2.7188820000E+02
4,-3.1732590000E+01,-9.2917600000E-01,-5.6966180000E-01,9.8563390000E-01,-1.1272230000E+02,-3.3600660000E+01,-1.8650430000E+02,-2.5959250000E+02,2.7108970000E+02
5,-3.1728660000E+01,-9.0913280000E-01,-5.0947990000E-01,9.4651860000E-01,-1.1287990000E+02,-3.3555860000E+01,-1.8634280000E+02,-2.6003990000E+02,2.7096870000E+02
6,-3.1731460000E+01,-9.1232860000E-01,-5.1053250000E-01,1.0097010000E+00,-1.1256080000E+02,-3.3649110000E+01,-1.8619370000E+02,-2.6026240000E+02,2.7110350000E+02
