Setup,Q0,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2
Reference,-8.4956270000E+02,1.0174270000E+01,4.9489000000E+00,2.2590180000E+01,-3.5083770000E+03,3.5077540000E+02,-4.9226470000E+04,-2.4816580000E+03,2.3120780000E+04
2,-8.4999940000E+02,1.2356650000E+01,3.3392410000E+00,2.4835430000E+01,-3.5556890000E+03,3.2249100000E+02,-4.9264970000E+04,-2.4644470000E+03,2.3099260000E+04
3,-8.4999940000E+02,1.2356650000E+01,3.3392410000E+00,2.4835430000E+01,-3.5556890000E+03,3.2249100000E+02,-4.9264970000E+04,-2.4644470000E+03,2.3099260000E+04
4,-8.4962610000E+02,1.3218060000E+01,6.1180700000E+00,2.3342150000E+01,-3.5184440000E+03,3.0170090000E+02,-4.9257640000E+04,-2.4544980000E+03,2.3185550000E+04
5,-8.4955390000E+02,9.7623320000E+00,4.5451190000E+00,2.2988110000E+01,-3.4960290000E+03,3.2871230000E+02,-4.9235990000E+04,-2.4814280000E+03,2.3215040000E+04
6,-8.4956470000E+02,9.5025750000E+00,4.5587090000E+00,2.2982580000E+01,-3.5091490000E+03,3.3897470000E+02,-4.9218150000E+04,-2.4738190000E+03,2.3192760000E+04
