Setup,Q0,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2
Reference,-2.4063010000E+01,4.6933840000E-02,4.0642580000E+02,-3.2764550000E-02,3.1648650000E+02,-2.7876860000E+02,6.6900600000E+03,-8.4694740000E+02,5.3843530000E+02
2,-2.3999950000E+01,2.4548840000E-01,4.0542720000E+02,-2.6427150000E-01,3.1725230000E+02,-2.7000250000E+02,6.6718550000E+03,-8.5381480000E+02,5.3574000000E+02
3,-2.4044610000E+01,2.0658500000E-02,4.0610070000E+02,-2.8274330000E-02,3.1635340000E+02,-2.7963340000E+02,6.6854870000E+03,-8.4808390000E+02,5.3861440000E+02
4,-2.4057310000E+01,5.7571750000E-02,4.0631510000E+02,-2.5195430000E-02,3.1655750000E+02,-2.7904460000E+02,6.6887650000E+03,-8.4715340000E+02,5.3833830000E+02
5,-2.4060740000E+01,6.0450780000E-02,4.0637320000E+02,-1.5568730000E-02,3.1663840000E+02,-2.7929570000E+02,6.6895450000E+03,-8.4699800000E+02,5.3821320000E+02
6,-2.4062000000E+01,5.7877060000E-02,4.0640140000E+02,-2.0241290000E-02,3.1650510000E+02,-2.7900590000E+02,6.6898290000E+03,-8.4724560000E+02,5.3835820000E+02
