Setup,Q0,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2
Reference,-1.7181770000E+02,7.9241520000E-01,-6.3634580000E+00,4.6847960000E+00,9.5149860000E+02,1.8787120000E+01,2.0082830000E+03,-1.4467580000E+03,-1.0053060000E+02
2,-1.7186690000E+02,2.0301830000E-01,-5.6022200000E+00,4.0416590000E+00,9.5683110000E+02,2.2295420000E+01,2.0055070000E+03,-1.4443360000E+03,-9.0616390000E+01
3,-1.7193720000E+02,-2.3065330000E-01,-5.5463960000E+00,4.5311780000E+00,9.5557940000E+02,1.7676370000E+01,2.0074640000E+03,-1.4439280000E+03,-9.1658680000E+01
4,-1.7185520000E+02,-1.2218680000E-01,-5.8366690000E+00,4.1952780000E+00,9.5265960000E+02,1.7005420000E+01,2.0094070000E+03,-1.4454760000E+03,-9.7004760000E+01
5,-1.7181820000E+02,-1.9689660000E-01,-5.8322760000E+00,4.2140590000E+00,9.5073940000E+02,2.0315370000E+01,2.0085860000E+03,-1.4442160000E+03,-9.6653330000E+01
6,-1.7178110000E+02,-2.4025340000E-01,-5.8041100000E+00,4.3937930000E+00,9.4801440000E+02,1.8624570000E+01,2.0060570000E+03,-1.4439960000E+03,-9.7555820000E+01
