Setup,Q0,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2
Reference,-3.1883040000E+01,-1.6940300000E+01,1.9891320000E-01,7.0335080000E-01,-3.5689660000E+02,8.9020010000E+01,-8.3279800000E+03,9.8583710000E+01,-1.4373520000E+04
2,-3.1999950000E+01,-1.9219510000E+01,1.1352090000E-01,8.7125190000E-01,-3.5578190000E+02,8.5527830000E+01,-8.3609440000E+03,1.0008810000E+02,-1.4429940000E+04
3,-3.1891470000E+01,-1.7020240000E+01,2.0731610000E-01,7.5715330000E-01,-3.5768010000E+02,8.6217580000E+01,-8.3336840000E+03,9.8713570000E+01,-1.4382870000E+04
4,-3.1885580000E+01,-1.7032360000E+01,2.2207330000E-01,9.9181570000E-01,-3.5327730000E+02,9.0169040000E+01,-8.3289630000E+03,9.8907210000E+01,-1.4375230000E+04
5,-3.1882600000E+01,-1.6850340000E+01,1.9332920000E-01,9.4009690000E-01,-3.5334080000E+02,8.7664610000E+01,-8.3271750000E+03,9.9011430000E+01,-1.4372280000E+04
6,-3.1883300000E+01,-1.6719410000E+01,1.6680650000E-01,9.5566790000E-01,-3.5025210000E+02,8.8544490000E+01,-8.3281230000E+03,9.8961350000E+01,-1.4373960000E+04
