Setup,Q0,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2
Reference,-3.1736170000E+01,-1.0521960000E+00,-6.2019920000E-01,8.9214250000E-01,-1.1338030000E+02,-3.3299460000E+01,-1.8599740000E+02,-2.6053060000E+02,2.7089560000E+02
2,-3.1999950000E+01,-1.1812930000E+00,-7.1811760000E-01,9.3240780000E-01,-1.1565230000E+02,-3.3170580000E+01,-1.8799050000E+02,-2.6222030000E+02,2.7108420000E+02
3,-3.1731630000E+01,-1.1046820000E+00,-6.6325980000E-01,9.3638530000E-01,-1.1380190000E+02,-3.3420350000E+01,-1.8583140000E+02,-2.6034970000E+02,2.7078910000E+02
4,-3.1731470000E+01,-1.0499810000E+00,-6.3326470000E-01,9.1668600000E-01,-1.1325120000E+02,-3.3441280000E+01,-1.8612890000E+02,-2.6013500000E+02,2.7091830000E+02
5,-3.1732910000E+01,-1.0509040000E+00,-6.0701150000E-01,9.1586770000E-01,-1.1324300000E+02,-3.3461060000E+01,-1.8608850000E+02,-2.6019420000E+02,2.7094000000E+02
6,-3.1733510000E+01,-1.0344870000E+00,-6.0019650000E-01,9.3181780000E-01,-1.1306190000E+02,-3.3467380000E+01,-1.8605610000E+02,-2.6035580000E+02,2.7103210000E+02
