Setup,Q0,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2
Reference,-8.4956270000E+02,1.0174270000E+01,4.9489000000E+00,2.2590180000E+01,-3.5083770000E+03,3.5077540000E+02,-4.9226470000E+04,-2.4816580000E+03,2.3120780000E+04
2,-8.4999940000E+02,1.1880670000E+01,3.8759940000E+00,2.6769480000E+01,-3.6214930000E+03,3.4389300000E+02,-4.9264770000E+04,-2.4668270000E+03,2.3024270000E+04
3,-8.4999940000E+02,1.1880670000E+01,3.8759940000E+00,2.6769480000E+01,-3.6214930000E+03,3.4389300000E+02,-4.9264770000E+04,-2.4668270000E+03,2.3024270000E+04
4,-8.4961490000E+02,1.3269710000E+01,6.8878430000E+00,2.4984870000E+01,-3.5800600000E+03,3.2069470000E+02,-4.9251860000E+04,-2.4421550000E+03,2.3093180000E+04
5,-8.4950840000E+02,9.5137780000E+00,4.9399850000E+00,2.3623160000E+01,-3.5141800000E+03,3.4698130000E+02,-4.9216670000E+04,-2.4842460000E+03,2.3125060000E+04
6,-8.4954890000E+02,9.3833040000E+00,4.9301400000E+00,2.3461610000E+01,-3.5151430000E+03,3.4983120000E+02,-4.9223940000E+04,-2.4802430000E+03,2.3129480000E+04
