Setup,Q0,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2
Reference,-1.7181770000E+02,7.9241520000E-01,-6.3634580000E+00,4.6847960000E+00,9.5149860000E+02,1.8787120000E+01,2.0082830000E+03,-1.4467580000E+03,-1.0053060000E+02
2,-1.7177060000E+02,7.6235390000E-01,-5.5540850000E+00,4.7858920000E+00,9.4685650000E+02,1.5773800000E+01,2.0159130000E+03,-1.4430540000E+03,-1.0416900000E+02
3,-1.7178650000E+02,8.1780030000E-01,-4.8848170000E+00,5.4534340000E+00,9.4441850000E+02,1.6922930000E+01,2.0156560000E+03,-1.4383370000E+03,-1.0305300000E+02
4,-1.7170390000E+02,2.9486310000E-01,-5.5335340000E+00,4.6707620000E+00,9.4655610000E+02,2.6709160000E+01,2.0026990000E+03,-1.4407520000E+03,-9.8111770000E+01
5,-1.7171790000E+02,2.6204520000E-01,-5.4725750000E+00,4.4690070000E+00,9.4729250000E+02,2.5816980000E+01,2.0024410000E+03,-1.4427250000E+03,-9.7761160000E+01
6,-1.7174700000E+02,2.7443550000E-01,-5.4828100000E+00,4.3521200000E+00,9.4862500000E+02,2.3714120000E+01,2.0036380000E+03,-1.4436280000E+03,-9.8297750000E+01
