Setup,Q0,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2
Reference,-2.4063010000E+01,4.6933840000E-02,4.0642580000E+02,-3.2764550000E-02,3.1648650000E+02,-2.7876860000E+02,6.6900600000E+03,-8.4694740000E+02,5.3843530000E+02
2,-2.3999950000E+01,2.7029620000E-01,4.0529650000E+02,-1.5441120000E-01,3.1936390000E+02,-2.7214330000E+02,6.6794770000E+03,-8.5789530000E+02,5.3869170000E+02
3,-2.4048240000E+01,8.3573780000E-03,4.0612340000E+02,9.8339740000E-02,3.1734520000E+02,-2.7663750000E+02,6.6890100000E+03,-8.4985220000E+02,5.3754580000E+02
4,-2.4054940000E+01,7.5868600000E-02,4.0627950000E+02,3.9082250000E-02,3.1685920000E+02,-2.7886000000E+02,6.6877800000E+03,-8.4916300000E+02,5.3870410000E+02
5,-2.4058280000E+01,5.3404240000E-02,4.0633260000E+02,5.3722970000E-02,3.1712640000E+02,-2.7876340000E+02,6.6887450000E+03,-8.4764940000E+02,5.3751150000E+02
6,-2.4059210000E+01,6.5583540000E-02,4.0637040000E+02,2.5947480000E-02,3.1710330000E+02,-2.7912870000E+02,6.6880650000E+03,-8.4809190000E+02,5.3827770000E+02
